iteration,labeled_samples,train_acc,train_macro_f1,train_weighted_f1,test_acc,test_macro_f1,test_micro_f1,test_weighted_f1
1,960,0.7458333333333333,0.6541085797204992,0.7693002748096719,0.7245726617070816,0.4442749903004895,0.7245726617070816,0.7421220149357433
2,1920,0.6734375,0.6667170873087623,0.6834655606845342,0.7959880495091762,0.502768607118621,0.7959880495091762,0.7988481097017279
3,2880,0.66875,0.6681018682748778,0.6762438169681256,0.8026867030965391,0.5355808715141295,0.8026867030965391,0.8037431792744872
4,3840,0.6479166666666667,0.6544653223963705,0.6561637133883707,0.8086598497873496,0.5409453590155667,0.8086598497873496,0.8110875250972494
5,4800,0.6135416666666667,0.6386370472069631,0.6232831467580544,0.7991472172351886,0.530643848427842,0.7991472172351886,0.8021645467770961
6,5760,0.6746527777777778,0.674311883621154,0.6852508590029717,0.8090339102790534,0.5405238479755056,0.8090339102790534,0.8147551614738507
7,6720,0.7053571428571429,0.7188636185325235,0.7112760015777089,0.8193610168016018,0.559953187166842,0.8193610168016018,0.8246754076609065
8,7680,0.71171875,0.7473912326078241,0.7198181262253386,0.8158891375451885,0.5536646386017571,0.8158891375451885,0.8220157721424864
9,8640,0.6938657407407407,0.7237320412402585,0.7000525017112742,0.8163724472135687,0.5594410145698973,0.8163724472135687,0.8239439205492578
10,9600,0.7740625,0.8196970926481182,0.7829730561159812,0.8215914418446064,0.5750218914192653,0.8215914418446064,0.8303841159922323
11,10560,0.7927083333333333,0.827274915322094,0.7936648898795595,0.8345076400679117,0.5730693769518114,0.8345076400679117,0.8374066412074902
12,11520,0.7923611111111111,0.8280080277451038,0.797543242507669,0.8212830957230143,0.5683758361012229,0.8212830957230143,0.8306432492089033
13,12480,0.8092948717948718,0.8209040859469969,0.8119358986480575,0.8333969384726286,0.5803529856773624,0.8333969384726286,0.8397757617339665
14,13440,0.8661458333333333,0.8893286438921821,0.8670290451876159,0.8375190258751902,0.5793749068790159,0.8375190258751902,0.8429469425410919
15,14400,0.8864583333333333,0.9151318257694173,0.8886635683159999,0.8400050564638463,0.5839160625108503,0.8400050564638463,0.8446265124874345
16,15360,0.9265625,0.9416357769961464,0.9264600567523879,0.8427385544189167,0.5879980970187424,0.8427385544189167,0.8450684386141425
17,16320,0.8415441176470588,0.8445791002679979,0.8420204980373639,0.8531133355955208,0.5998298191685236,0.8531133355955208,0.854827473438617
18,17280,0.9195023148148148,0.9393281712573109,0.9193040750320197,0.8554561116013278,0.5995748799175279,0.8554561116013278,0.8554059923155354
19,18240,0.9354166666666667,0.9515432658271409,0.9355398827525846,0.8548312722699644,0.5997383219654706,0.8548312722699644,0.8549650922630868
20,19200,0.9380208333333333,0.9474680075755956,0.9388703295276567,0.8568553459119497,0.5962261656686604,0.8568553459119497,0.8561997300425335
