iteration,labeled_samples,train_acc,train_macro_f1,train_micro_f1,test_acc,test_macro_f1,test_micro_f1
1,59,0.9322033898305084,0.7916666666666667,0.9322033898305084,0.7856659905341447,0.4433799386732454,0.7856659905341447
2,118,0.940677966101695,0.7606006415944304,0.940677966101695,0.8292847503373819,0.5857892125950215,0.8292847503373819
3,177,0.9548022598870056,0.9356880082787467,0.9548022598870056,0.8539703903095559,0.6878341946830877,0.8539703903095559
4,236,0.9491525423728814,0.9305048663669353,0.9491525423728814,0.860512129380054,0.7136059543542344,0.860512129380054
5,295,0.9254237288135593,0.9183422468986745,0.9254237288135593,0.8767676767676768,0.7478163573938347,0.8767676767676768
6,354,0.9124293785310734,0.909497969102348,0.9124293785310734,0.8840970350404312,0.7601617748183187,0.8840970350404312
7,413,0.9055690072639225,0.9133309115270954,0.9055690072639225,0.8928571428571429,0.7855542981151922,0.8928571428571429
8,472,0.9851694915254238,0.9842397674700634,0.9851694915254238,0.8990578734858681,0.8066136826888888,0.8990578734858681
9,531,0.9868173258003766,0.9872223040196232,0.9868173258003766,0.8901617250673854,0.7894620045688265,0.8901617250673854
10,590,0.9966101694915255,0.9963769651982128,0.9966101694915255,0.9043771043771044,0.8150468475960662,0.9043771043771044
11,649,0.9938366718027735,0.994164756509352,0.9938366718027735,0.9018157363819771,0.8111421021557769,0.9018157363819771
12,708,0.9943502824858758,0.9939594035739979,0.9943502824858758,0.9116655428186109,0.8335428115179893,0.9116655428186109
13,767,0.9895697522816167,0.9895375761130569,0.9895697522816167,0.9105581708137189,0.8342184200767541,0.9105581708137189
14,826,0.9878934624697336,0.9878327599108045,0.9878934624697336,0.9118438761776582,0.832230671304657,0.9118438761776582
15,885,0.9875706214689266,0.9876450269580314,0.9875706214689266,0.9158815612382234,0.8440105189550318,0.9158815612382234
16,944,0.9841101694915254,0.9837001060830831,0.9841101694915254,0.9118438761776582,0.8381193226592065,0.9118438761776582
17,1003,0.9810568295114656,0.9816714886491182,0.9810568295114656,0.9138047138047138,0.8426473965309071,0.9138047138047138
18,1062,0.9811676082862524,0.9810309055648411,0.9811676082862524,0.917900403768506,0.845884226153587,0.917900403768506
19,1121,0.9785905441570026,0.9786560983684064,0.9785905441570026,0.910377358490566,0.8345911182969603,0.910377358490566
20,1180,0.9711864406779661,0.9721327256296523,0.9711864406779661,0.9084791386271871,0.8269531199857102,0.9084791386271871
